nickname,canonical_name
ab,abraham
abbe,abbigail
abbey,abbigail
abbi,abbigail
abbie,abbigail
abby,abbigail
abe,abraham
ada,andriane
addie,adrienne
addy,adelaide
adele,adelaide
adie,adelaide
adina,adena
ado,adolphus
adolph,adolphus
adri,andriane
aga,agatha
aggy,augustina
al,alexander
alan,allan
albert,adelbert
alec,alexander
alek,aleksandr
alen,jalen
alex,alexandria
alexander,alexandria
alfy,alfreda
algy,algernon
ali,allisandra
aline,adeline
alix,alixandra
alla,alexandria
allen,allan
allie,allisandra
ally,allisandra
alphus,alphinias
amabel,mabel
amelia,parmelia
amos,moses
amy,amelia
ana,anastasia
ance,anselm
andi,andrea
andrew,andrea
andy,anderson
angel,angelica
angelika,angelica
angelique,angelica
angie,angelica
ann,antoinette
anna,savannah
anne,anna
annie,stephanie
anse,anselm
ansel,anselm
ant,anthony
app,absalom
appie,appoline
appy,appoline
ara,arabella
archie,archibald
ari,ariadne
arie,ariadne
arilla,cinderella
arly,arlene
armida,araminta
arnie,arnold
arry,arabella
art,artemus
asa,asahel
ash,ashley
ashly,ashley
assene,asenath
athy,eighta
audree,audrey
august,augustine
aurilla,aurelia
austin,augustine
aze,azariah
bab,barbara
babs,barbara
barbery,barbara
barbie,barbara
barby,barbara
barney,barnabas
barrett,garrett
bart,bartholomew
bartel,bartholomew
basil,bazaleel
bat,bartholomew
bea,beatrice
becca,rebecca
beck,rebecca
becky,rebecca
beda,obedience
bedney,abednego
beedy,obedience
bela,william
bell,william
bella,isabella
belle,rosabella
ben,benedict
benjy,benjamin
bennie,benedict
benny,benjamin
berney,bernard
bernie,bernard
berny,bernard
berry,littleberry
bert,elbertson
bertie,alberta
bess,elizabeth
bessie,elizabeth
beth,elizabeth
betsy,elizabeth
betty,elizabeth
bev,beverly
bias,tobias
biddie,obedience
biddy,bridget
bige,abijah
bill,william
billiewilhelm,wilma
billy,robert
birdie,roberta
birtie,roberta
bo,boetius
bob,robert
bobbie,barbara
bobby,robert
brad,bradford
brady,broderick
brandy,brenda
bree,breeanna
bri,breanna
briana,bryanna
bridgie,bridget
bridgit,bedelia
bridie,bridget
brina,sabrina
britt,brittany
brittnie,brittany
brody,broderick
brose,ambrose
bryan,brian
bryanna,brianna
bryant,brian
buren,vanburen
burt,egbert
c cathy,cathleen
cage,micajah
cait,caitlin
caity,caitlin
cal,calvin
cali,kalli
callie,california
calliedona,caldonia
cally,calpurnia
cam,campbell
cammie,camille
candy,candace
carl,carlton
carly,carla
carm,carmon
carol,caroline
carole,carolann
carri,carol
carrie,caroline
casey,catherine
cass,cassidy
cassie,cassandra
cathy,catherine
ced,cedric
celia,cecilia
cene,cyrenius
cenia,laodicia
chan,chauncey
char,charlotte
charlie,charles
charm,carmon
chat,charity
chelle,michelle
chelsie,chelsey
cher,cheryl
cheri,sheryl
cherie,sheryl
chet,chesley
chick,charles
chris,christopher
chrissy,christina
christy,christiana
chuck,charles
cilla,priscilla
cille,lucille
cindy,cinderella
cintha,cynthia
cissy,priscilla
claas,nicholas
claes,nicholas
clair,clarence
clara,clarissa
clare,clarence
claud,claudia
cleat,cleatus
clem,clementine
clement,clementine
cliff,clifford
clo,chloe
clum,columbus
coco,corey
cole,nicholette
colie,cole
con,cornelius
connie,constance
conny,cornelius
cora,corinne
cordy,cordelia
cornie,cornelia
corny,cornelius
court,courtney
crate,socrates
creasey,lucretia
crissy,christiana
crys,crystal
curg,lecurgus
curt,courtney
cy,onicyphorous
cyphorus,onicyphorous
dacey,candace
dacia,daycia
dahl,dalton
daisha,daycia
daisy,margaretta
dal,dalton
dan,sheridan
dani,danielle
dann,daniel
danny,sheridan
daph,daphne
daphie,daphne
darkey,dorcus
darry,darlene
dave,david
davey,david
day,david
dea,demerias
deb,deborah
debbie,deborah
debby,deborah
debra,debbie
dee,delores
deedee,deidre
deena,adena
del,adelbert
delbert,adelbert
delf,delphine
delia,fidelia
delius,delia
dell,adelaide
della,deliverance
delly,deliverance
delpha,philadelphia
delphi,delphine
delphia,philadelphia
dena,adena
dennie,dennis
dennis,dennison
denny,dennison
derick,frederick
derrek,derek
di,diana
diah,jedediah
dian,diane
dianne,diane
dicey,eurydice
dicie,dicey
dick,richard
dickie,richard
dickon,richard
dicky,richard
dicy,laodicia
didi,diana
dilly,deliverance
dina,geraldine
dite,epaphroditius
ditus,epaphroditius
dob,robert
dobbin,robert
doda,dorothea
dolly,dorothy
dolph,rudolphus
dom,dominick
don,donovan
dona,donna
donnie,donovan
donny,donovan
dony,donovan
dora,dorothea
dorinda,dorothea
dortha,dorothy
dosia,theodosia
dosie,eudoris
dossie,eudoris
dot,dorothy
dottie,dorothy
dotty,dorothy
doug,douglas
dre,sondra
drea,andrea
drew,woodrow
drina,alexandria
dunk,duncan
dutch,herman
duty,deuteronomy
dyce,epaphroditius
dyche,epaphroditius
dyer,jedediah
earnest,ernestine
eb,ebenezer
ebbie,ebenezer
eben,ebenezer
ed,eduardo
eddie,eduardo
eddy,eduardo
edie,edythe
edny,edna
edwin,edwina
edye,edythe
effie,euphemia
effy,euphemia
el,ella
elaine,eleanor
elbert,elbertson
elenor,leonore
eli,elijah
eliza,elizabeth
ella,gabriella
ellen,ellender
ellie,danielle
elly,elmira
eloise,heloise
elsey,ellswood
elsie,alicia
elvie,elvira
em,emeline
emily,emeline
emma,emeline
emmanuel,immanuel
emmy,emeline
enne,adrienne
eph,ephraim
eppa,epaphroditius
epsey,artelepsa
eric,derrick
erica,frederica
erick,frederick
ericka,fredericka
erika,frederica
erin,aaron
erna,ernestine
ernest,ernestine
ernie,earnest
es,essy
essa,vanessa
essie,esther
essy,estella
etta,carthaette
etty,carthaette
ev,evangeline
eva,evaline
evan,evangeline
eve,genevieve
evelina,evelyn
exie,experience
ez,ezekiel
fal,fallon
falcon,fallon
fall,fallon
fallie,fallon
fally,fallon
falon,fallon
fanny,frances
farmboy,westley
fate,lafayette
fay,faith
fel,felicia
feli,felicia
felix,felicia
felty,valentina
ferbie,pheriba
ferdie,ferdinando
fie,philander
field,winfield
fifi,phoebe
fina,josephine
fiona,fionna
flick,felicity
flo,florence
flora,florence
flossy,florence
ford,bradford
fran,franklind
francie,francine
frank,franklind
frankie,frances
franky,veronica
frannie,francine
franniey,francine
franny,francine
fred,ferdinando
freda,fredericka
freddie,ferdinand
freddy,fredericka
frederick,frederica
frieda,fredericka
fritz,frederick
frona,sophronia
fronia,sophronia
frony,veronica
gabby,gabriella
gabe,gabriel
gail,abbigail
gare,garrett
garratt,garrett
garret,garrett
garri,garrick
garry,garrett
gary,garrett
gatsy,augustina
gay,gerhardt
gee,jehu
gene,eugene
geoff,geoffrey
george,georgine
georgia,georgiana
georgie,george
geri,jerry
gerri,geraldine
gerrie,geraldine
gerry,geraldine
gert,gertrude
gertie,gertrude
gil,gilbert
gina,regina
ginger,virginia
ginny,virginia
gio,giovanni
glen,glenn
glory,gloria
gory,gregory
govie,governor
green,greenberry
greg,gregory
gregg,greggory
greta,margarita
gretta,margaretta
grissel,griselda
gum,montgomery
gus,augustine
gussie,augustina
gwen,gwendolyn
hal,harold
hallie,mahala
ham,hamilton
hank,henrietta
hannah,johannah
hap,harrison
haps,harrison
harman,herman
harry,harrison
harty,hortense
hassie,haseltine
hattie,harriet
haylee,hailey
haylen,jalen
hayley,hailey
heidi,adelaide
helen,ellender
helena,eleanor
heloise,elouise
henny,henrietta
henry,harry
herb,herbert
hermie,hermione
hessy,hester
hester,esther
hetty,mehitabel
hez,hezekiah
hiel,jehiel
hilary,hillary
hipsie,hephsibah
hitty,mehitabel
hob,robert
hobkin,robert
hoda,jahoda
hodge,rodger
hodie,jahoda
hody,jahoda
honey,honora
honor,leonore
hop,hopkins
hopp,hopkins
horry,horace
hosey,hosea
hosie,hosea
howie,howard
hub,hubert
hugh,hubert
humey,posthuma
hy,hezekiah
ian,john
ib,isabella
iggy,ignatius
ike,isaac
ina,lavinia
indie,india
indy,india
inez,agnes
irv,irving
irvin,irving
irwin,erwin
issy,isabella
ivy,iva
izzy,isadore
jaap,jacob
jack,jacqueline
jackie,jacqueline
jacob,jacobus
jacqui,jacqueline
jaelin,jalen
jaelyn,jalen
jailyn,jalen
jake,jacob
jamey,james
jamie,benjamin
jan,janice
jane,virginia
janet,jeanette
janie,jane
jap,jasper
jasper,casper
jay,jacob
jaye,jalen
jaylin,jalen
jaylyn,jalen
jean,genevieve
jeannie,jeanne
jeb,jebadiah
jed,jedediah
jeff,jefferson
jem,james
jen,jennifer
jenn,jennifer
jenni,jennifer
jennie,jennifer
jenny,genevieve
jereme,jeremiah
jerry,geraldine
jess,jessica
jessie,jeanette
jettie,josetta
jez,jeremy
jezza,jeremy
jill,jillian
jim,james
jimmie,james
jimmy,james
jo,josephine
joan,johannah
jock,john
jodi,joanna
jody,josephine
joe,joseph
joey,josephine
john,johnathan
johnathon,johnathan
johnny,johannes
johny,johnathan
jon,johnathan
jonathan,johnathan
jonathon,johnathan
jonnie,johnathan
jonny,johnathan
jos,joseph
josey,josophine
josh,joshua
josie,josephine
joy,joyce
jr,junior
jud,judson
juda,judith
jude,judith
juder,judah
judi,judith
judie,judith
judy,judith
jule,julian
jules,julian
julie,julia
june,junior
junie,junior
junius,june
justina,justin
juston,justin
justus,justin
k.c.,casey
kait,kaitlynn
kaitie,kaitlynn
kali,kalli
kam,kameron
kara,carol
kari,carol
karla,carla
katarina,catherine
kate,katherine
kathy,catherine
katie,kathryn
katy,catherine
kay,catherine
kaye,katherine
kayla,makayla
kelli,kelley
kellie,kelley
kelly,kelley
ken,kendrick
kenj,kendra
kenji,kendra
kenna,mckenna
kenneth,kendrick
kenny,kendrick
kenzy,mackenzie
kerri,kerry
kev,kevin
kiah,hezekiah
kill,archilles
killis,archilles
kim,kimberley
kimberli,kimberley
kimberly,kimberley
king,kingsley
kissy,calista
kit,christopher
kittie,catherine
kizza,keziah
kizzie,keziah
kris,christiana
kristy,christiana
kym,kymberly
l.b.,littleberry
l.r.,leroy
laffie,lafayette
lainie,elaine
lan,yulan
lani,leilani
lanna,eleanor
lanny,roland
lanson,alanson
larry,laurence
laura,laurinda
laurie,lorelei
lawrence,laurinda
lawrie,lawrence
lazar,eleazer
lea,leanne
leafa,relief
leah,ashley
lee,leonidas
leet,philetus
left,eliphalet
lem,lemuel
len,leonard
lena,catherine
lennie,jalen
lenny,leonard
lenora,eleanor
leo,leonard
leon,leonidas
les,lesley
lessie,celeste
lettice,letitia
lettie,violetta
leve,aleva
levy,aleva
lewis,louis
lexi,alexis
lias,elias
lib,elizabeth
libby,elizabeth
life,eliphalel
lige,elijah
lil,delilah
lila,delilah
liley,silence
lilly,lillian
lily,lillah
lina,angelina
linda,rosalinda
lindsey,lindsay
lindsie,lindsay
lindsy,lindsay
lindy,philinda
lineau,leonard
link,lincoln
lisa,elizabeth
lish,elisha
lissa,melissa
lissia,alyssa
little,littleberry
livia,olivia
liz,elizabeth
liza,elizabeth
lizzie,elizabeth
lizzy,elizabeth
lloyd,floyd
lodi,melody
lois,heloise
lola,delores
lolly,delores
lon,laurence
lonnie,fallon
lonny,laurence
lonzo,alonzo
loomie,salome
loren,lorenzo
lori,lorelei
lorie,lorraine
lorne,laurence
lorrie,lorraine
lorry,laurence
lotta,charlotte
lottie,charlotte
lou,louis
louie,louis
louise,elouise
lu,lucille
lucius,lucia
lucy,lucille
luke,lucias
lula,luella
lura,lurana
lyddy,lidia
lynn,caroline
mabel,mehitabel
mac,mackenzie
mack,mackenzie
maddi,maddison
maddie,maddison
maddy,madelyn
madge,margaretta
madie,madeline
mae,marietta
magda,magdelina
maggie,margaretta
maggy,margaret
maisie,margarita
mal,malcolm
malc,malcolm
mally,malachi
mamie,marietta
manda,amanda
mandie,amanda
mandy,armanda
manny,emanuel
mantha,samantha
manuel,immanuel
marc,marcus
marcia,marsha
marcie,marsha
margaret,gretchen
marge,margaretta
margery,margaretta
margie,marjorie
margo,margarita
margy,margaret
maria,marietta
mariah,marietta
marianna,marian
marie,marietta
marion,marietta
maris,demerias
mark,marcus
marnie,marni
marty,martha
marv,marvin
mary,demerias
masa,masayuki
mat,martha
matt,matthews
mattie,matthews
matty,matthews
maty,mathew
maud,madeline
maureen,marietta
mave,mavery
max,maximillian
may,marietta
mc,mack
meaka,mckenna
mees,bartholomew
meg,margaretta
megan,margarita
mel,melinda
melia,parmelia
mellia,carmellia
mellie,permelia
melly,permelia
melo,carmelo
mena,almena
menaalmena,philomena
merci,mercedes
mercy,marietta
mert,myrtle
merv,mervin
metta,margarita
meus,bartholomew
micah,michael
mick,michael
mickey,michelle
micky,michael
middie,araminta
middy,maud
midge,margaretta
miggy,miguel
miguael,miguel
miguaell,miguel
miguail,miguel
miguaill,miguel
miguayl,miguel
miguayll,miguel
miguel,michael
miguell,miguel
mike,michael
mikey,michael
miky,micheal
millie,camille
milly,millicent
mima,jemima
mimi,miriam
mina,wilhelmina
mindie,arminda
mindy,melinda
minerva,manerva
minite,arminta
minnie,wilhelmina
minty,araminta
mira,miranda
missy,millicent
mitch,mitchell
mittie,mitzie
mitty,mehitabel
mitzi,marietta
mitzie,miriam
mock,democrates
mollie,marietta
molly,marietta
mona,ramona
monna,monica
monnie,monica
monte,monteleon
monty,montgomery
morey,maurice
mort,mortimer
mose,moses
moss,moses
mur,muriel
myra,almira
myrt,myrtle
myrti,myrtle
nabby,abbigail
nace,ignatius
nada,nadine
naldo,reginald
nan,hannah
nando,ferdinando
nanny,hannah
nap,napoleon
nappy,napoleon
nat,nathaniel
nate,nathaniel
nathan,johnathan
natius,ignatius
natty,nathaniel
naz,ignatzio
ned,edmund
neil,cornelius
nelia,cornelia
nell,leonora
nelle,cornelia
nellie,petronella
nelly,cornelia
nels,nelson
nerva,manerva
nervie,manerva
nessa,vanessa
netta,antoinette
nettie,henrietta
newt,newton
nib,isabella
nibby,isabella
nic,nicodemus
nicey,vernisee
nichole,nicholette
nicie,eunice
nick,nicodemus
nickey,nicholette
nicki,nicholette
nickie,nicodemus
nicky,nicholette
nico,nicodemus
nicole,nicholette
niel,cornelius
nikki,nicholette
nita,juanita
noah,manoah
noel,nowell
nole,nicole
nollie,olivia
nonie,johannah
nonnie,manola
nora,eleanor
norah,honora
norbu,norbusamte
norby,norbert
norm,norman
norry,honora
obed,obedience
obie,obadiah
ode,otis
odo,odell
ola,viola
ollie,oliver
olph,rudolphus
omi,naomi
ona,arizona
one,onicyphorous
onie,arizona
onnie,iona
ophi,theophilus
ora,aurelia
orilla,aurelia
osaforum,onicyphorous
osaforus,onicyphorous
ossy,oswald
ote,otis
otha,theotha
ozzy,oswald
paddy,patrick
pam,pamela
parsuny,parthenia
pasoonie,parthenia
pat,patience
pate,patrick
patsy,patricia
patti,patricia
patty,mathilda
peg,margaretta
peggie,margarita
peggy,margaretta
penie,philipina
penny,penelope
percy,percival
perry,pelegrine
pete,peter
peter,patrick
phelia,orphelia
phena,tryphena
pheney,josephine
phenie,parthenia
pherbia,pheriba
phil,philetus
philly,adelphia
phoebe,philipina
pink,pinckney
pip,philipina
ples,pleasant
pokey,pocahontas
polly,marietta
pres,prescott
prissy,priscilla
provy,providence
prudy,prudence
prue,prudence
quil,aquilla
quilla,tranquilla
quillie,aquilla
rachael,rachel
rafa,rafaela
ralph,raphael
randi,miranda
randy,bertrand
rasmus,erasmus
ray,raymond
raze,erasmus
rea,andrea
reba,rebecca
ree,aurelia
reg,reginald
reggie,reginald
rella,cinderella
ren,lauren
rena,serena
renius,cyrenius
renny,reginald
retta,henrietta
reynold,reginald
rhett,garrett
rhynie,rhyna
riah,azariah
rian,adrian
riane,adriane
rich,aldrich
riche,aldrich
richie,aldrich
rick,broderick
ricka,fredericka
rickey,fredericka
rickie,roderick
ricky,broderick
rienne,adrienne
rilla,cinderella
rilly,aurelia
rissa,marissa
rita,margaretta
rob,roberto
robbie,roberta
robby,robert
roby,roberta
rod,broderick
roddy,roderick
rodie,rhoda
roge,rodger
roger,rodger
roland,orlando
rolf,rudolphus
rollo,roland
rolly,roland
ron,veronica
ronie,veronica
ronna,veronica
ronnie,veronica
ronny,veronica
rosa,rosabella
rose,rosabella
rosemarie,rosemary
rosey,rosemary
rosie,roseanna
ross,roscoe
rox,roxane
roxie,roxanna
roy,leroy
roz,rosabella
rube,reuben
rudy,rudolphus
ruminta,araminta
rupert,robert
russ,russell
rusty,russell
ry,ryan
sadie,mercedes
safie,safieel
sal,salvador
sally,salvador
salmon,solomon
sam,samantha
sammy,samantha
sandra,alexandria
sandy,alexander
sara,sarah
saul,solomon
savanna,savannah
sceeter,scott
scott,prescott
scottie,scott
scotty,prescott
seb,sebastian
sebby,sebastian
see,seymour
selma,anselm
sene,asenath
senie,eseneth
seph,persephone
sephy,persephone
serene,cyrenius
sha,shaina
shawn,shaun
shay,shaina
sheila,cecilia
shel,shelton
shelley,michelle
shellie,michelle
shelly,michelle
shely,michelle
sher,sheridan
sheri,sheryl
sherri,sheryl
sherry,charlotte
sherryl,sheryl
shirl,shirley
si,silvester
sibbell,sibbilla
sibbie,sibbilla
sid,sigfired
sig,sigismund
silla,drusilla
sina,rosina
sinah,lucina
sion,simeon
sis,frances
sly,silvester
smitty,smith
sol,solomon
solly,solomon
sonnie,sondra
sonny,jefferson
sophia,sophronia
sophie,sophia
squat,scott
staci,stacey
stacia,eustacia
stacie,stacey
stacy,anastasia
stal,crystal
steffi,stephanie
steffie,stephanie
stella,estella
steph,stephanie
stephani,stephanie
stephany,stephanie
stephie,stephanie
stephine,stephanie
steve,stephan
stevie,stephanie
stu,stuart
sue,susan
sukey,susannah
suki,suzanne
sula,ursula
sulie,ursula
sully,sullivan
susie,susannah
suzie,susan
swene,cyrenius
sy,sylvester
sybill,sibbilla
syd,sidney
syl,silvester
syphorous,onicyphorous
tabby,tabitha
tal,crystal
tami,tammie
tammy,tamarra
tamzine,thomasa
tanny,tanafra
tash,tasha
tasha,natasha
tashie,tasha
tave,octavia
tavia,octavia
ted,theodore
teddy,theodore
teeny,ernestine
telly,aristotle
tempy,temperance
tensey,hortense
teri,terri
terrie,terri
terry,terence
tess,theresa
tessa,theresa
tessie,theresa
thad,thaddeus
than,nathaniel
thaney,bethena
theo,theodore
theodosius,theodosia
thias,matthias
thirza,theresa
thom,thomas
thursa,arthusa
thys,matthias
tibbie,isabella
tick,felicity
tiff,tiffany
tiffy,tiffany
tilla,matilda
tillie,mathilda
tilly,matilda
tim,timothy
timmy,timothy
tina,christiana
tine,martine
tish,latisha
tisha,latisha
titia,letitia
toby,tobias
tom,thomas
tommy,thomas
tony,antoinette
tori,victoria
torie,victoria
torri,victoria
torrie,victoria
tory,victoria
traci,theresa
tracie,theresa
tracy,theresa
trannie,tranquilla
tricia,patricia
trina,catherine
trish,patricia
trisha,beatrice
trix,beatrice
trixie,beatrice
trudy,gertrude
unice,eunice
val,valentina
valeri,valerie
vallie,valentina
van,sullivan
vangie,evangeline
vanna,vanessa
vannie,savannah
veda,laveda
verna,laverne
vernon,laverne
vert,alverta
vessie,sylvester
vest,silvester
vester,silvester
vet,sylvester
vi,vivian
vic,victor
vicki,victoria
vickie,victoria
vicky,victoria
vicy,levicy
vij,vijay
vin,vincenzo
vina,louvinia
vince,vincenzo
viney,louvinia
vinnie,vincenzo
vinny,vincenzo
virdie,alverta
virgy,virginia
viv,vivian
von,lavonne
vonna,yvonne
vonnie,louvinia
waldo,oswald
wally,wallace
walt,walter
wash,washington
webb,webster
wen,wendy
wendy,gwendolyn
wes,westley
west,westley
wil,wilfred
wilber,gilbert
will,wilfred
willie,wilhelmina
willy,william
wilma,wilhelmina
win,winfield
winnet,winifred
winnie,winnifred
winny,winnifred
wint,winton
wood,woodrow
woody,woodrow
wyncha,louvinia
yoshi,yoshihiko
yul,yulan
zac,zachariah
zach,zachariah
zachy,zachariah
zack,zachariah
zada,alzada
zaddi,arzada
zadie,isaiah
zadock,melchizedek
zak,zachariah
zakk,zachariah
zay,isaiah
zeb,zebedee
zed,zedediah
zeely,bezaleel
zeke,zachariah
zeph,zephaniah
zolly,solomon
bin,ibn
ibnu,ibn
ibni,ibn
ibna,ibn
walad,ibn
wuld,ibn
ibnuh,ibn

